dataset,variable,count,mean,std,min,25%,50%,75%,max,median,IQR,missing_count,missing_pct
daily_data,app_sessions_social,85000.0,9.686611764705882,3.534802530497808,0.0,7.0,10.0,12.0,25.0,10.0,5.0,0,0.0
daily_data,unique_contacts,85000.0,3.1095529411764704,0.8790945597201277,0.0,3.0,3.0,4.0,7.0,3.0,1.0,0,0.0
daily_data,calls_total,85000.0,2.2160823529411764,0.6747607046470182,0.0,2.0,2.0,3.0,5.0,2.0,1.0,0,0.0
daily_data,call_duration_min,85000.0,11.766310588235294,3.3033025164807523,0.0,9.6,11.8,14.0,25.5,11.8,4.4,0,0.0
daily_data,med_adherence,64090.0,0.7130164144172257,0.19810383389504843,0.02,0.599,0.743,0.86,1.0,0.743,0.261,20910,24.6
daily_data,therapy_adherence,59245.0,0.6591952569837117,0.22330280446755166,0.02,0.53,0.691,0.824,1.0,0.691,0.29399999999999993,25755,30.3
daily_data,overall_adherence,85000.0,0.6874728352941176,0.19633922230690762,0.02,0.572,0.715,0.833,1.0,0.715,0.261,0,0.0
daily_data,gps_missing_pct,85000.0,0.16140227058823528,0.0897982071011754,0.015,0.099,0.14,0.2,0.819,0.14,0.101,0,0.0
daily_data,hr_missing_pct,85000.0,0.2103727529411765,0.12998750512112803,0.02,0.119,0.174,0.265,0.921,0.174,0.14600000000000002,0,0.0
daily_data,gps_outage_flag,85000.0,0.044576470588235294,0.20637322964933022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
daily_data,wearable_nonwear_flag,85000.0,0.08309411764705882,0.27602605242430717,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
daily_data,passive_dropout_flag,85000.0,0.06385882352941176,0.24450271470788965,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
clinical_assessments,participant_id,7000.0,499.5,288.6956121088811,0.0,249.75,499.5,749.25,999.0,499.5,499.5,0,0.0
clinical_assessments,week,7000.0,6.0,4.000285744901604,0.0,2.0,6.0,10.0,12.0,6.0,8.0,0,0.0
clinical_assessments,PHQ_score,7000.0,11.091785714285715,5.339390906592581,0.0,7.4,11.1,14.8,27.0,11.1,7.4,0,0.0
clinical_assessments,change_from_baseline,7000.0,-3.7572142857142854,3.766026679131646,-14.8,-6.4,-3.0,-0.8,5.0,-3.0,5.6000000000000005,0,0.0
clinical_assessments,percent_change_from_baseline,7000.0,27.09054857142857,28.356649268737247,-58.75,5.38,20.83,45.29,100.0,20.83,39.91,0,0.0
clinical_assessments,life_event_in_prior_7d,7000.0,0.061714285714285715,0.24065308239915362,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0
final_outcomes,participant_id,1000.0,499.5,288.8194360957494,0.0,249.75,499.5,749.25,999.0,499.5,499.5,0,0.0
final_outcomes,final_week12_PHQ_score,1000.0,6.9037999999999995,4.782649819848752,0.0,3.2,6.5,10.2,24.6,6.5,6.999999999999999,0,0.0
final_outcomes,final_change_from_baseline,1000.0,-7.945200000000001,3.364942763227898,-14.8,-10.8,-8.0,-5.6,0.5,-8.0,5.200000000000001,0,0.0
final_outcomes,final_percent_change_from_baseline,1000.0,56.52582,26.180729193601707,-3.0,36.88,56.415,76.43,100.0,56.415,39.550000000000004,0,0.0
final_outcomes,time_to_response_weeks,591.0,8.720812182741117,2.580544552356883,2.0,6.0,8.0,10.0,12.0,8.0,4.0,409,40.9
final_outcomes,sustained_improvement_flag,1000.0,0.556,0.4971027168615267,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,0.0
weekly_summary,week,13.0,6.0,3.8944404818493075,0.0,3.0,6.0,9.0,12.0,6.0,6.0,0,0.0
weekly_summary,mean,13.0,71.65733626373627,1.2631506941815809,69.7794,70.72308571428572,71.72188571428572,72.76935714285715,73.32544285714286,71.72188571428572,2.04627142857143,0,0.0
weekly_summary,std,13.0,3.3403632277096005,0.1637785130516258,3.122236045461793,3.2523314548848816,3.3377039308871335,3.373505326950894,3.7848244315678325,3.3377039308871335,0.12117387206601249,0,0.0
weekly_summary,count,13.0,6538.461538461538,1664.1005886756875,1000.0,7000.0,7000.0,7000.0,7000.0,7000.0,0.0,0,0.0
weekly_summary,standard_error,13.0,0.04512969711467074,0.01921938499305528,0.03731785846631015,0.03887279601916562,0.039893192276841676,0.04032110080513686,0.10877411202785098,0.039893192276841676,0.001448304785971237,0,0.0
