week,mean,std,count,median,standard_error,variable
12,1.550248,0.2850829085735601,1000,1.566,0.009015113130779937,location_entropy
0,2.190944285714286,0.3868167313294992,7000,2.18,0.004623344238542331,night_screen_time
1,2.2552585714285716,0.40915713739149023,7000,2.23,0.004890363163236723,night_screen_time
2,2.22891,0.41540251435873926,7000,2.2,0.004965009695510064,night_screen_time
3,2.191954285714286,0.40551344993186544,7000,2.16,0.004846812768284557,night_screen_time
4,2.1367157142857143,0.40284847934405765,7000,2.1,0.004814960277388732,night_screen_time
5,2.099255714285714,0.41051750387118796,7000,2.07,0.0049066226525938655,night_screen_time
6,2.053442857142857,0.4034593990246855,7000,2.01,0.004822262164191651,night_screen_time
7,2.009301428571429,0.38865771551503175,7000,1.96,0.004645348208221138,night_screen_time
8,1.9636785714285714,0.3870954145290025,7000,1.92,0.004626675139872203,night_screen_time
9,1.9290985714285716,0.3788533341987464,7000,1.88,0.004528163437760659,night_screen_time
10,1.8925914285714285,0.3662158039620098,7000,1.85,0.004377116060857899,night_screen_time
11,1.8654457142857144,0.35031882063700676,7000,1.83,0.004187110768136344,night_screen_time
12,1.85635,0.34969395671553066,1000,1.83,0.01105829387217411,night_screen_time
0,4.821984285714286,0.6042750185812396,7000,4.82,0.007222467901143698,screen_time
1,4.860425714285714,0.5715451982233328,7000,4.86,0.006831271724442244,screen_time
2,4.822894285714286,0.5511620375382301,7000,4.81,0.006587646356447296,screen_time
3,4.771864285714286,0.5548107767607977,7000,4.77,0.006631257131515429,screen_time
4,4.760464285714286,0.5735995626031476,7000,4.75,0.006855826075249765,screen_time
5,4.7313914285714285,0.5658749813948412,7000,4.72,0.0067634996706968185,screen_time
6,4.711054285714285,0.5573855421280925,7000,4.71,0.006662031463808571,screen_time
7,4.668031428571429,0.5698934551595647,7000,4.66,0.006811529618791391,screen_time
8,4.6522757142857145,0.5583258362040684,7000,4.64,0.0066732701276165105,screen_time
9,4.614858571428571,0.5785208412531135,7000,4.6,0.006914646605619223,screen_time
10,4.577341428571429,0.5457725444143967,7000,4.56,0.006523229592733129,screen_time
11,4.5520757142857144,0.5378085928700442,7000,4.55,0.0064280421654415,screen_time
12,4.56117,0.5421335997149965,1000,4.575,0.017143769712054,screen_time
0,2.8738571428571427,0.8509104288685506,7000,3.0,0.010170324885646901,unique_contacts
1,2.854857142857143,0.8379598553171511,7000,3.0,0.010015535925487682,unique_contacts
2,2.884857142857143,0.8344280442575096,7000,3.0,0.00997332270927521,unique_contacts
3,2.960714285714286,0.841334337486663,7000,3.0,0.010055868701794575,unique_contacts
4,3.009,0.8586675982544348,7000,3.0,0.010263040793421519,unique_contacts
5,3.0544285714285713,0.8751349753455001,7000,3.0,0.010459863595620908,unique_contacts
6,3.1107142857142858,0.8766792046450288,7000,3.0,0.0104783206660026,unique_contacts
7,3.1807142857142856,0.8586645556070084,7000,3.0,0.010263004426828997,unique_contacts
8,3.2455714285714286,0.8669828119471015,7000,3.0,0.010362426606403562,unique_contacts
9,3.288,0.8587473807041662,7000,3.0,0.010263994376085937,unique_contacts
10,3.3715714285714284,0.8636540819315301,7000,3.0,0.010322640672929952,unique_contacts
11,3.432857142857143,0.8676071855866705,7000,3.0,0.010369889298772833,unique_contacts
12,3.442,0.8679800627833504,1000,3.0,0.027447939620113364,unique_contacts
